Team,Date,Event,Opponent,OpponentCountry,Map,TeamScore,OpponentScore,W/L
Nixuh,2024/09/29,Telkom VS Gaming Masters 2024 Finals,Monarch Realm,South Africa,Mirage,11,13,L
Nixuh,2024/09/29,Telkom VS Gaming Masters 2024 Finals,Monarch Realm,South Africa,Ancient,11,13,L
Nixuh,2024/09/28,Telkom VS Gaming Masters 2024 Finals,Exceed,South Africa,Dust2,5,13,L
Nixuh,2024/09/28,Telkom VS Gaming Masters 2024 Finals,Exceed,South Africa,Ancient,7,13,L
Nixuh,2024/01/27,PGL CS2 Major Copenhagen 2024 Middle East RMR Closed Qualifier,Twisted Minds,Europe,Vertigo,8,13,L
Nixuh,2024/01/27,PGL CS2 Major Copenhagen 2024 Middle East RMR Closed Qualifier,Twisted Minds,Europe,Mirage,3,13,L
Nixuh,2024/01/26,PGL CS2 Major Copenhagen 2024 Middle East RMR Closed Qualifier,Onyx Ravens,Asia,Ancient,8,13,L
Nixuh,2024/01/09,PGL CS2 Major Copenhagen 2024 ZA RMR Open Qualifier,Bravado,South Africa,Anubis,14,16,L
Nixuh,2024/01/09,PGL CS2 Major Copenhagen 2024 ZA RMR Open Qualifier,ELUSIVEza's party S,South Africa,Ancient,13,7,W
Nixuh,2024/01/09,PGL CS2 Major Copenhagen 2024 ZA RMR Open Qualifier,ELUSIVEza's party,South Africa,Anubis,13,9,W
Nixuh,2023/09/25,Telkom VS Gaming Masters 2023,Bravado,South Africa,Inferno,14,16,L
Nixuh,2023/09/25,Telkom VS Gaming Masters 2023,Bravado,South Africa,Nuke,17,19,L
Nixuh,2023/09/25,Telkom VS Gaming Masters 2023,Bravado,South Africa,Vertigo,16,9,W
Nixuh,2023/09/25,Telkom VS Gaming Masters 2023,Bravado,South Africa,Ancient,9,16,L
Nixuh,2023/09/24,Telkom VS Gaming Masters 2023,NIBBLE,South Africa,Nuke,16,6,W
Nixuh,2023/09/24,Telkom VS Gaming Masters 2023,NIBBLE,South Africa,Mirage,16,9,W
Nixuh,2023/08/13,SOUZERN Championship Series 2023,Bravado,South Africa,Ancient,16,11,W
Nixuh,2023/08/13,SOUZERN Championship Series 2023,Bravado,South Africa,Vertigo,11,16,L
Nixuh,2023/08/13,SOUZERN Championship Series 2023,Bravado,South Africa,Inferno,16,11,W
Nixuh,2023/08/12,SOUZERN Championship Series 2023,Goliath,South Africa,Overpass,16,9,W
Nixuh,2023/08/12,SOUZERN Championship Series 2023,Goliath,South Africa,Inferno,16,3,W
Nixuh,2023/06/11,ESEA Spring 2023 Cash Cup 7 South Africa,Goliath,South Africa,Mirage,16,7,W
Nixuh,2023/06/11,ESEA Spring 2023 Cash Cup 7 South Africa,Goliath,South Africa,Inferno,11,16,L
Nixuh,2023/06/11,ESEA Spring 2023 Cash Cup 7 South Africa,Goliath,South Africa,Overpass,16,11,W
Nixuh,2023/06/04,ESEA Spring 2023 Cash Cup 6 South Africa,VYBN,South Africa,Inferno,16,6,W
Nixuh,2023/06/04,ESEA Spring 2023 Cash Cup 6 South Africa,VYBN,South Africa,Mirage,16,10,W
Nixuh,2023/05/07,ESEA Spring 2023 Cash Cup 4 South Africa,Bravado,South Africa,Overpass,9,16,L
Nixuh,2023/05/07,ESEA Spring 2023 Cash Cup 4 South Africa,Bravado,South Africa,_vertigo,16,2,W
Nixuh,2023/05/07,ESEA Spring 2023 Cash Cup 4 South Africa,Bravado,South Africa,M_irage,9,16,L
Nixuh,2023/04/25,ESL Challenger Katowice 2023 South Africa Closed Qualifier,Bravado,South Africa,Vertigo,6,16,L
Nixuh,2023/04/25,ESL Challenger Katowice 2023 South Africa Closed Qualifier,Bravado,South Africa,Inferno,17,19,L
Nixuh,2023/04/24,ESL Challenger Katowice 2023 South Africa Closed Qualifier,Bravado,South Africa,Overpass,16,14,W
Nixuh,2023/04/24,ESL Challenger Katowice 2023 South Africa Closed Qualifier,Bravado,South Africa,Inferno,16,14,W
Nixuh,2023/04/24,ESL Challenger Katowice 2023 South Africa Closed Qualifier,DNMK,South Africa,Ancient,16,14,W
Nixuh,2023/04/24,ESL Challenger Katowice 2023 South Africa Closed Qualifier,DNMK,South Africa,Inferno,16,1,W
Nixuh,2023/04/23,ESEA Spring 2023 Cash Cup 3 South Africa,Bravado,South Africa,Vertigo,17,19,L
Nixuh,2023/04/23,ESEA Spring 2023 Cash Cup 3 South Africa,Bravado,South Africa,Inferno,15,19,L
Nixuh,2023/04/21,ESL Challenger Katowice 2023 South Africa Open Qualifier,Goliath,South Africa,Inferno,16,7,W
Nixuh,2023/04/21,ESL Challenger Katowice 2023 South Africa Open Qualifier,Goliath,South Africa,Mirage,16,11,W
Nixuh,2022/10/30,ESEA Autumn 2022 Cash Cup 3 South Africa,blacklaminate,South Africa,Dust2,16,8,W
Nixuh,2022/10/30,ESEA Autumn 2022 Cash Cup 3 South Africa,blacklaminate,South Africa,Inferno,16,12,W
Nixuh,2022/10/30,ESEA Autumn 2022 Cash Cup 3 South Africa,blacklaminate,South Africa,Nuke,14,16,L
Nixuh,2022/10/15,ESL Challenger Rotterdam 2022,Eternal Fire,Turkey,Vertigo,5,16,L
Nixuh,2022/10/15,ESL Challenger Rotterdam 2022,Eternal Fire,Turkey,Inferno,17,19,L
Nixuh,2022/10/14,ESL Challenger Rotterdam 2022,MOUZ,Europe,Mirage,2,16,L
Nixuh,2022/09/25,Telkom VS Gaming Masters 2022,Bravado,South Africa,Vertigo,16,4,W
Nixuh,2022/09/25,Telkom VS Gaming Masters 2022,Bravado,South Africa,Mirage,6,16,L
Nixuh,2022/09/25,Telkom VS Gaming Masters 2022,Bravado,South Africa,Nuke,16,5,W
Nixuh,2022/09/25,Telkom VS Gaming Masters 2022,Bravado,South Africa,Dust2,16,9,W
Nixuh,2022/09/24,Telkom VS Gaming Masters 2022,Goliath,South Africa,Inferno,16,7,W
Nixuh,2022/09/24,Telkom VS Gaming Masters 2022,Goliath,South Africa,Dust2,16,6,W
Nixuh,2022/09/22,Telkom VS Gaming Masters 2022,Bravado,South Africa,Nuke,13,16,L
Nixuh,2022/09/22,Telkom VS Gaming Masters 2022,Bravado,South Africa,Dust2,16,7,W
Nixuh,2022/09/22,Telkom VS Gaming Masters 2022,Bravado,South Africa,Vertigo,12,16,L
Nixuh,2022/09/03,ESL Challenger Rotterdam 2022 South Africa Closed Qualifier,Bravado,South Africa,Inferno,16,10,W
Nixuh,2022/09/03,ESL Challenger Rotterdam 2022 South Africa Closed Qualifier,Bravado,South Africa,Nuke,16,14,W
Nixuh,2022/09/02,ESL Challenger Rotterdam 2022 South Africa Closed Qualifier,DNMK,South Africa,Nuke,16,5,W
Nixuh,2022/09/02,ESL Challenger Rotterdam 2022 South Africa Closed Qualifier,DNMK,South Africa,Inferno,16,5,W
Nixuh,2022/09/02,ESL Challenger Rotterdam 2022 South Africa Closed Qualifier,Goliath,South Africa,Inferno,16,2,W
Nixuh,2022/09/02,ESL Challenger Rotterdam 2022 South Africa Closed Qualifier,Goliath,South Africa,Mirage,16,8,W
Nixuh,2022/08/30,ESL Challenger Rotterdam 2022 South Africa Open Qualifier 1,DNMK,South Africa,Dust2,16,11,W
Nixuh,2022/08/30,ESL Challenger Rotterdam 2022 South Africa Open Qualifier 1,DNMK,South Africa,Inferno,16,8,W
Bravado,2024/08/29,Perfect World Shanghai Major 2024 Middle East RMR Closed Qualifier,DRILLAS,Europe,Nuke,8,13,L
Bravado,2024/08/29,Perfect World Shanghai Major 2024 Middle East RMR Closed Qualifier,DRILLAS,Europe,Vertigo,1,13,L
Bravado,2024/08/28,Perfect World Shanghai Major 2024 Middle East RMR Closed Qualifier,Onyx Ravens,Asia,Ancient,5,13,L
Bravado,2024/08/21,Perfect World Shanghai Major 2024 ZA RMR Open Qualifier,Punishers,South Africa,Ancient,13,9,W
Bravado,2024/08/21,Perfect World Shanghai Major 2024 ZA RMR Open Qualifier,Southern5,South Africa,Ancient,13,4,W
Bravado,2024/08/21,Perfect World Shanghai Major 2024 ZA RMR Open Qualifier,Southern5,South Africa,Anubis,13,3,W
Bravado,2024/01/27,PGL CS2 Major Copenhagen 2024 Middle East RMR Closed Qualifier,Twisted Minds,Europe,Nuke,2,13,L
Bravado,2024/01/27,PGL CS2 Major Copenhagen 2024 Middle East RMR Closed Qualifier,Twisted Minds,Europe,Inferno,9,13,L
Bravado,2024/01/26,PGL CS2 Major Copenhagen 2024 Middle East RMR Closed Qualifier,15 Average,Other,Overpass,10,13,L
Bravado,2024/01/26,PGL CS2 Major Copenhagen 2024 Middle East RMR Closed Qualifier,Kitsune,South Africa,Ancient,13,0,W
Bravado,2024/01/09,PGL CS2 Major Copenhagen 2024 ZA RMR Open Qualifier,Nixuh,South Africa,Anubis,16,14,W
Bravado,2024/01/09,PGL CS2 Major Copenhagen 2024 ZA RMR Open Qualifier,Goliath,South Africa,Vertigo,13,7,W
Bravado,2024/01/09,PGL CS2 Major Copenhagen 2024 ZA RMR Open Qualifier,Goliath,South Africa,Ancient,4,13,L
Bravado,2024/01/09,PGL CS2 Major Copenhagen 2024 ZA RMR Open Qualifier,Goliath,South Africa,Overpass,13,8,W
Bravado,2023/09/25,Telkom VS Gaming Masters 2023,Nixuh,South Africa,Inferno,16,14,W
Bravado,2023/09/25,Telkom VS Gaming Masters 2023,Nixuh,South Africa,Nuke,19,17,W
Bravado,2023/09/25,Telkom VS Gaming Masters 2023,Nixuh,South Africa,Vertigo,9,16,L
Bravado,2023/09/25,Telkom VS Gaming Masters 2023,Nixuh,South Africa,Ancient,16,9,W
Bravado,2023/09/24,Telkom VS Gaming Masters 2023,Goliath,South Africa,Vertigo,16,13,W
Bravado,2023/09/24,Telkom VS Gaming Masters 2023,Goliath,South Africa,Anubis,16,9,W
Bravado,2023/08/13,SOUZERN Championship Series 2023,Nixuh,South Africa,Ancient,11,16,L
Bravado,2023/08/13,SOUZERN Championship Series 2023,Nixuh,South Africa,Vertigo,16,11,W
Bravado,2023/08/13,SOUZERN Championship Series 2023,Nixuh,South Africa,Inferno,11,16,L
Bravado,2023/08/12,SOUZERN Championship Series 2023,VYBN,South Africa,Inferno,16,10,W
Bravado,2023/08/12,SOUZERN Championship Series 2023,VYBN,South Africa,Anubis,12,16,L
Bravado,2023/08/12,SOUZERN Championship Series 2023,VYBN,South Africa,Nuke,16,13,W
Bravado,2023/06/10,ESL Challenger Katowice 2023,Party Astronauts,United States,Inferno,4,16,L
Bravado,2023/06/10,ESL Challenger Katowice 2023,Party Astronauts,United States,Ancient,10,16,L
Bravado,2023/06/10,ESL Challenger Katowice 2023,Party Astronauts,United States,Vertigo,16,8,W
Bravado,2023/06/09,ESL Challenger Katowice 2023,ENCE,Europe,Nuke,11,16,L
Bravado,2023/05/07,ESEA Spring 2023 Cash Cup 4 South Africa,Nixuh,South Africa,Overpass,16,9,W
Bravado,2023/05/07,ESEA Spring 2023 Cash Cup 4 South Africa,Nixuh,South Africa,Vertigo,2,16,L
Bravado,2023/05/07,ESEA Spring 2023 Cash Cup 4 South Africa,Nixuh,South Africa,Mirage,16,9,W
Bravado,2023/04/25,ESL Challenger Katowice 2023 South Africa Closed Qualifier,Nixuh,South Africa,Vertigo,16,6,W
Bravado,2023/04/25,ESL Challenger Katowice 2023 South Africa Closed Qualifier,Nixuh,South Africa,Inferno,19,17,W
Bravado,2023/04/25,ESL Challenger Katowice 2023 South Africa Closed Qualifier,VYBN,South Africa,Nuke,16,6,W
Bravado,2023/04/25,ESL Challenger Katowice 2023 South Africa Closed Qualifier,VYBN,South Africa,Vertigo,16,5,W
Bravado,2023/04/24,ESL Challenger Katowice 2023 South Africa Closed Qualifier,Nixuh,South Africa,Overpass,14,16,L
